name,category,attraction_type,region,tourist_area,locality,municipality,tier,popularity,accessibility,open_in_september,best_season,needs_hiking,duration,tickets,photography,confidence,spots_within_25km,spots_within_50km,is_route,lat,lon,maps_url
Brúarhlöð,Points of Interest,Points of Interest,South,,,Hrunamannahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,36,,64.3013756,-20.1552772,"https://www.google.com/maps?q=64.3013756,-20.1552772"
Dalatangi,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,26,,65.2701748,-13.5756683,"https://www.google.com/maps?q=65.2701748,-13.5756683"
Dalvik,Points of Interest,Points of Interest,Northeast,,,Dalvíkurbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,17,,65.9707003,-18.5326926,"https://www.google.com/maps?q=65.9707003,-18.5326926"
Drykkjarsteinn,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,57,,63.8544602777778,-22.2964041666667,"https://www.google.com/maps?q=63.8544602777778,-22.2964041666667"
Dverghamrar,Points of Interest,Points of Interest,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,12,,63.8490011111111,-17.861471388889,"https://www.google.com/maps?q=63.8490011111111,-17.861471388889"
Dyrhólaey lighthouse,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,21,,63.3997473,-19.1259956,"https://www.google.com/maps?q=63.3997473,-19.1259956"
Efstidalur II,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,41,,64.2424477,-20.5516435,"https://www.google.com/maps?q=64.2424477,-20.5516435"
Eldborg,Points of Interest,Points of Interest,West,,,Eyja- og Miklaholtshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,12,,64.818789,-22.415972,"https://www.google.com/maps?q=64.818789,-22.415972"
Eldborg Crater,Points of Interest,Points of Interest,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,11,,64.796211,-22.3211291,"https://www.google.com/maps?q=64.796211,-22.3211291"
Eldvorp Ruins,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,23,51,,63.8401591666667,-22.5495322222223,"https://www.google.com/maps?q=63.8401591666667,-22.5495322222223"
Eldvörp,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,52,,63.8564044444444,-22.5385497222222,"https://www.google.com/maps?q=63.8564044444444,-22.5385497222222"
Eskifjörður,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,20,30,,65.078627,-14.031816,"https://www.google.com/maps?q=65.078627,-14.031816"
Eyjafjallajökull volcano-glacier,Points of Interest,Points of Interest,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,14,31,,63.6314128,-19.6083216,"https://www.google.com/maps?q=63.6314128,-19.6083216"
Festarfjall,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,57,,63.8600575,-22.3351205555556,"https://www.google.com/maps?q=63.8600575,-22.3351205555556"
Fjalladýrð,Points of Interest,Points of Interest,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,3,,65.331454,-15.683702,"https://www.google.com/maps?q=65.331454,-15.683702"
Flókalundur,Points of Interest,Points of Interest,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,11,,65.577382,-23.172655,"https://www.google.com/maps?q=65.577382,-23.172655"
Friðheimar,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,44,,64.1783626,-20.4478078,"https://www.google.com/maps?q=64.1783626,-20.4478078"
Fáskrúðsfjörður,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,29,,64.936589,-14.03585,"https://www.google.com/maps?q=64.936589,-14.03585"
Gardur,Points of Interest,Points of Interest,Reykjanes,,,Suðurnesjabær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,56,,64.0647084,-22.6380944,"https://www.google.com/maps?q=64.0647084,-22.6380944"
Garður lighthouse,Points of Interest,Points of Interest,Reykjanes,,,Suðurnesjabær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,56,,64.0823304,-22.6903725,"https://www.google.com/maps?q=64.0823304,-22.6903725"
Geothermal park Hverasvæðið,Points of Interest,Points of Interest,South,,Hveragerðisbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,64,,64.0010205,-21.1871983,"https://www.google.com/maps?q=64.0010205,-21.1871983"
Gerduberg Cliffs,Points of Interest,Points of Interest,West,,,Eyja- og Miklaholtshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,12,,64.8512801,-22.3704018,"https://www.google.com/maps?q=64.8512801,-22.3704018"
Grettislaug,Points of Interest,Points of Interest,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,5,10,,65.8822262,-19.7365364,"https://www.google.com/maps?q=65.8822262,-19.7365364"
Grindavík,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,24,54,,63.843907,-22.420148,"https://www.google.com/maps?q=63.843907,-22.420148"
Grjótagjá,Points of Interest,Points of Interest,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,14,,65.6264333333333,-16.8824833333333,"https://www.google.com/maps?q=65.6264333333333,-16.8824833333333"
Grundarfjörður,Points of Interest,Points of Interest,West,,Grundarfjarðarbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,24,,64.9246686,-23.260406,"https://www.google.com/maps?q=64.9246686,-23.260406"
Grænavatn,Points of Interest,Points of Interest,Capital,,Hafnarfjarðarkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,66,,63.8846919444444,-22.0544883333333,"https://www.google.com/maps?q=63.8846919444444,-22.0544883333333"
Grótta Island Lighthouse,Points of Interest,Points of Interest,Capital,,Seltjarnarnesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,71,,64.1649896,-22.0220005,"https://www.google.com/maps?q=64.1649896,-22.0220005"
Gunnuhver,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,20,37,,63.8198611111111,-22.6873952777778,"https://www.google.com/maps?q=63.8198611111111,-22.6873952777778"
Hafnarberg Sea Cliffs,Points of Interest,Points of Interest,Reykjanes,,Reykjanesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,22,43,,63.8813372222222,-22.7362247222222,"https://www.google.com/maps?q=63.8813372222222,-22.7362247222222"
Hallgrimskirkja,Points of Interest,Points of Interest,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,29,70,,64.1417149,-21.9266371,"https://www.google.com/maps?q=64.1417149,-21.9266371"
Heiðarbær,Points of Interest,Points of Interest,Northeast,,,Norðurþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,26,,65.88842,-17.320848,"https://www.google.com/maps?q=65.88842,-17.320848"
Hellisheidi Power Plant,Points of Interest,Points of Interest,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,16,67,,64.0370884,-21.4011955,"https://www.google.com/maps?q=64.0370884,-21.4011955"
Hellissandur,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,19,,64.9162886,-23.8756753,"https://www.google.com/maps?q=64.9162886,-23.8756753"
Hellnar,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,20,,64.745796,-23.67584,"https://www.google.com/maps?q=64.745796,-23.67584"
Hjörleifshöfði,Points of Interest,Points of Interest,South,,,Mýrdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,6,19,,63.4203363888889,-18.7494452777778,"https://www.google.com/maps?q=63.4203363888889,-18.7494452777778"
Hoffell Glacier,Points of Interest,Points of Interest,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,6,,64.4061346,-15.4069519,"https://www.google.com/maps?q=64.4061346,-15.4069519"
Hofskirkja,Points of Interest,Points of Interest,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,13,,63.9069658,-16.7069467,"https://www.google.com/maps?q=63.9069658,-16.7069467"
Hot-dog stand,Points of Interest,Points of Interest,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,26,70,,64.1482404,-21.9378297,"https://www.google.com/maps?q=64.1482404,-21.9378297"
Hvammstangi,Points of Interest,Points of Interest,Northwest,,,Húnaþing vestra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,10,,65.402297,-20.9295,"https://www.google.com/maps?q=65.402297,-20.9295"
Hveravellir Geothermal Area,Points of Interest,Points of Interest,Northwest,,,Húnabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,3,,64.8672463,-19.5500043,"https://www.google.com/maps?q=64.8672463,-19.5500043"
Hvitserkur,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,15,,65.6063129,-20.6352359,"https://www.google.com/maps?q=65.6063129,-20.6352359"
Hvítanes seal colony,Points of Interest,Points of Interest,Westfjords,,,Súðavíkurhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,15,,66.0028558,-22.7890777,"https://www.google.com/maps?q=66.0028558,-22.7890777"
Höfn,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,6,,64.2497026,-15.2020077,"https://www.google.com/maps?q=64.2497026,-15.2020077"
Húsabakki,Points of Interest,Points of Interest,Northeast,,,Dalvíkurbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,17,,65.923902,-18.568729,"https://www.google.com/maps?q=65.923902,-18.568729"
Katlahraun Lava Fields,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,57,,63.8400488888889,-22.245138888889,"https://www.google.com/maps?q=63.8400488888889,-22.245138888889"
Kirkjubæjarklaustur,Points of Interest,Points of Interest,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,10,,63.7800741,-18.0897540999999,"https://www.google.com/maps?q=63.7800741,-18.0897540999999"
Kirkjugólf,Points of Interest,Points of Interest,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,9,,63.7953654,-18.0463781,"https://www.google.com/maps?q=63.7953654,-18.0463781"
Kleifarmörk,Points of Interest,Points of Interest,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,9,,63.798445,-18.054013,"https://www.google.com/maps?q=63.798445,-18.054013"
Kleifarvatn,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,29,67,,63.9257301,-21.9715926,"https://www.google.com/maps?q=63.9257301,-21.9715926"
Krafla Power Plant,Points of Interest,Points of Interest,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,16,,65.7031739,-16.7751788,"https://www.google.com/maps?q=65.7031739,-16.7751788"
Langbrók,Points of Interest,Points of Interest,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,35,,63.750325,-20.20949,"https://www.google.com/maps?q=63.750325,-20.20949"
Langjökull Glacier,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,16,,64.6561868,-20.1531476,"https://www.google.com/maps?q=64.6561868,-20.1531476"
Laugar,Points of Interest,Points of Interest,West,,,Dalabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,6,,65.24634,-21.803827,"https://www.google.com/maps?q=65.24634,-21.803827"
Londrangar Basalt Cliffs,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,18,,64.7354463,-23.7756157,"https://www.google.com/maps?q=64.7354463,-23.7756157"
Látrabjarg,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,4,,65.5025457,-24.5324707,"https://www.google.com/maps?q=65.5025457,-24.5324707"
Lónsá,Points of Interest,Points of Interest,Northeast,,,Hörgársveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,17,,65.7012,-18.153609,"https://www.google.com/maps?q=65.7012,-18.153609"
Lögberg,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,68,,64.2597454,-21.1223641,"https://www.google.com/maps?q=64.2597454,-21.1223641"
Mt. Hekla,Points of Interest,Points of Interest,South,,,Rangárþing ytra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,40,,63.9922607,-19.6658149,"https://www.google.com/maps?q=63.9922607,-19.6658149"
Mýrdalsjökull Glacier,Points of Interest,Points of Interest,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,5,29,,63.6449015,-19.0355297,"https://www.google.com/maps?q=63.6449015,-19.0355297"
Nesjavallavirkjun,Points of Interest,Points of Interest,South,,,Grímsnes- og Grafningshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,68,,64.1082283,-21.2571287000001,"https://www.google.com/maps?q=64.1082283,-21.2571287000001"
Nordfjödur,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,29,,65.150948,-13.67918,"https://www.google.com/maps?q=65.150948,-13.67918"
Olafsvík,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,20,,64.88927,-23.687725,"https://www.google.com/maps?q=64.88927,-23.687725"
Old Akranes Lighthouse,Points of Interest,Points of Interest,West,,Akraneskaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,16,52,,64.3077599,-22.0954361,"https://www.google.com/maps?q=64.3077599,-22.0954361"
Olkelda Mineral Spring,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,5,24,,64.8364554,-22.9756123,"https://www.google.com/maps?q=64.8364554,-22.9756123"
Point Asknes,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,30,,65.1975081,-13.8830709,"https://www.google.com/maps?q=65.1975081,-13.8830709"
Raudamelsolkeda Mineral Spring,Points of Interest,Points of Interest,West,,,Eyja- og Miklaholtshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,13,,64.895584,-22.338753,"https://www.google.com/maps?q=64.895584,-22.338753"
Rauðisandur Beach,Points of Interest,Points of Interest,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,8,,65.4750808,-23.9916096,"https://www.google.com/maps?q=65.4750808,-23.9916096"
Reykjanesviti,Points of Interest,Points of Interest,Reykjanes,,Reykjanesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,34,,63.8136435,-22.7147152,"https://www.google.com/maps?q=63.8136435,-22.7147152"
Reyðarfjörður,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,29,,65.034372,-14.241071,"https://www.google.com/maps?q=65.034372,-14.241071"
Sangerdi,Points of Interest,Points of Interest,Reykjanes,,,Suðurnesjabær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,56,,64.036797,-22.687433,"https://www.google.com/maps?q=64.036797,-22.687433"
Sauðárkrókur,Points of Interest,Points of Interest,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,10,,65.748881,-19.647642,"https://www.google.com/maps?q=65.748881,-19.647642"
Saxa Sea Geysir,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,6,24,,64.8266168,-13.8247973,"https://www.google.com/maps?q=64.8266168,-13.8247973"
Selatangar,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,57,,63.8380195,-22.2407055,"https://www.google.com/maps?q=63.8380195,-22.2407055"
Seltún Geothermal Area,Points of Interest,Points of Interest,Capital,,Hafnarfjarðarkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,24,66,,63.8957411,-22.051772,"https://www.google.com/maps?q=63.8957411,-22.051772"
Seydisfjordur,Points of Interest,Points of Interest,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,30,,65.2598494,-14.0101156,"https://www.google.com/maps?q=65.2598494,-14.0101156"
Seyðisfjörður,Points of Interest,Points of Interest,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,30,,65.259906,-14.012514,"https://www.google.com/maps?q=65.259906,-14.012514"
Siglufjördur,Points of Interest,Points of Interest,Northeast,,,Fjallabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,8,,66.149516,-18.90878,"https://www.google.com/maps?q=66.149516,-18.90878"
Skagaströnd,Points of Interest,Points of Interest,Northwest,,,Sveitarfélagið Skagaströnd,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,11,,65.825203,-20.295203,"https://www.google.com/maps?q=65.825203,-20.295203"
Skjól,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,36,,64.311181,-20.233834,"https://www.google.com/maps?q=64.311181,-20.233834"
Skálholt Cathedral,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,45,,64.1252892,-20.524435,"https://www.google.com/maps?q=64.1252892,-20.524435"
Slakki,Points of Interest,Points of Interest,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,18,45,,64.115743,-20.5034389,"https://www.google.com/maps?q=64.115743,-20.5034389"
Stokkseyri,Points of Interest,Points of Interest,South,,,Sveitarfélagið Árborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,46,,63.835512,-21.055899,"https://www.google.com/maps?q=63.835512,-21.055899"
Strandarkirkja,Points of Interest,Points of Interest,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,59,,63.8357725,-21.7046607,"https://www.google.com/maps?q=63.8357725,-21.7046607"
Ströndin Vestan Grindavíkur,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,22,53,,63.8273569444444,-22.4675386111111,"https://www.google.com/maps?q=63.8273569444444,-22.4675386111111"
Stykkishólmur,Points of Interest,Points of Interest,West,,,Sveitarfélagið Stykkishólmur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,16,,65.0728985,-22.7357311,"https://www.google.com/maps?q=65.0728985,-22.7357311"
Stóri-Karl,Points of Interest,Points of Interest,Northeast,,,Langanesbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,1,,66.3859018,-14.8569906,"https://www.google.com/maps?q=66.3859018,-14.8569906"
Stöðvarfjörður,Points of Interest,Points of Interest,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,24,,64.832836,-13.861646,"https://www.google.com/maps?q=64.832836,-13.861646"
Svörtuloft Lighthouse,Points of Interest,Points of Interest,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,18,,64.8637136,-24.039071,"https://www.google.com/maps?q=64.8637136,-24.039071"
Sólfarið (Sun Voyager),Points of Interest,Points of Interest,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,27,70,,64.14761,-21.9222878,"https://www.google.com/maps?q=64.14761,-21.9222878"
Sólheimar Ecovillage,Points of Interest,Points of Interest,South,,,Grímsnes- og Grafningshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,47,,64.0656168,-20.6418696,"https://www.google.com/maps?q=64.0656168,-20.6418696"
T-bær,Points of Interest,Points of Interest,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,57,,63.832221,-21.688192,"https://www.google.com/maps?q=63.832221,-21.688192"
The Highlands,Points of Interest,Points of Interest,South,,,Skeiða- og Gnúpverjahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,0,,64.7788071,-18.5009766,"https://www.google.com/maps?q=64.7788071,-18.5009766"
